text,keywords,k_count
Дай сводку: для sme.,SME,1
где презентацИя вЧЕрАшняЯ леЖИт?,,0
"по Corporate, итоговая сумма, про кредиты, по Ипотека. Срочно пришли отчёт.","Corporate | Кредиты | Ипотека | Сумма, млн ₽",4
"Покажи, пж, в Кредиты / Ипотека.",Кредиты | Ипотека,2
По в Retail сделай выгрузку срочно!,Retail,1
Дай сводку: ПЕРЕВОДЫ ЮРИДИЧЕСКИМ ЛИЦАМ.,Переводы юридическим лицам,1
Уточни по счетам / по Переводы / Переводы физическим лицам / про межбанковские / сколько по сумме и сверь.,"Переводы | Переводы физическим лицам | Межбанковские | По счетам | Сумма, млн ₽",5
"По для количество операций, в по картам, по Межбанковские, по Corporate, по Переводы физическим лицам сделай выгрузку срочно!",Corporate | Переводы физическим лицам | Межбанковские | По картам | Количество операций,5
"Запрос на цифры: по межбанковские, в retail.",Retail | Межбанковские,2
"Срочно по по сумме — по кредиты, плиз.","Кредиты | Сумма, млн ₽",2
"Эй, по на короткие — КРАТКОСРОЧНЫЕ — Количество операций — в SME — про плавающая ставка — в вклады где статистика?",SME | Вклады | Краткосрочные | Плавающая ставка | Короткие | Количество операций,6
"Напомни: что видно по в вклады, в плавающая ставка, RETAIL?",Retail | Вклады | Плавающая ставка,3
"По в межбанковские, переводы, в По картам, по Переводы физическим лицам, итоговая сумма, про corporate сделай выгрузку срочно!","Corporate | Переводы | Переводы физическим лицам | Межбанковские | По картам | Сумма, млн ₽",6
Дай сводку: Кредиты.,Кредиты,1
Напомни: что видно по в Количество операций + на переводы + Переводы юридическим лицам?,Переводы | Переводы юридическим лицам | Количество операций,3
"Нужно быстро посмотреть ПЕРВИЧКА, в Ипотека — что по цифрам?",Ипотека | Первичка,2
Напомни: что видно по итоговая сумма?,"Сумма, млн ₽",1
"Срочно по про sme; в Кредиты; сколько по сумме; для первичка; БЕЗ ГОСПОДДЕРЖКИ; Ипотека, плиз.","SME | Кредиты | Ипотека | Первичка | Без господдержки | Сумма, млн ₽",6
А что у нас по на количество операций?,Количество операций,1
Проверь по Corporate; сколько по сумме; в переводы физическим лицам; по Переводы и отправь.,"Corporate | Переводы | Переводы физическим лицам | Сумма, млн ₽",4
А что у нас по ПЕРЕВОДЫ — на количество операций — переводы юридическим лицам?,Переводы | Переводы юридическим лицам | Количество операций,3
Нужно быстро посмотреть Corporate — что по цифрам?,Corporate,1
"Эй, по в с господдержкой — на кредиты — на первичка — по операциям — по sme где статистика?",SME | Кредиты | Первичка | С господдержкой | Количество операций,5
"Нужно быстро посмотреть в Обычные; по Переводы юридическим лицам; sme; в Переводы; СУММА, МЛН ₽; на межфилиальные — что по цифрам?","SME | Переводы | Переводы юридическим лицам | Межфилиальные | Обычные | Сумма, млн ₽",6
"Уточни по сумма, млн ₽ и сверь.","Сумма, млн ₽",1
"Эй, по краткосрочные / ВКЛАДЫ / по Количество операций / Corporate где статистика?",Corporate | Вклады | Краткосрочные | Количество операций,4
бронь на завтра подтеврдишь?,,0
"Нужно быстро посмотреть СУММА, МЛН ₽, по агентские обязательства, Corporate, по На три года, в кредиты, Без проделния — что по цифрам?","Corporate | Кредиты | Агентские обязательства | На три года | Без продления | Сумма, млн ₽",6
пжлст проверь письмо—  ушло?,,0
"Срочно по количество операций / на retail / в Переводы / Переводы юридическим лицам / в Межфилиальные, плиз.",Retail | Переводы | Переводы юридическим лицам | Межфилиальные | Количество операций,5
брнь на завтра подтвердишь?,,0
Запрос на цифры: на без господдержки.,Без господдержки,1
Напомни: что видно по по Количество операций — по онлайн — для corporate?,Corporate | Онлайн | Количество операций,3
"Можно отчёт по рефинансирование, в сумма, млн ₽, Онлайн, на sme, в Потребкредиты, на кредиты прямо сейчас?","SME | Кредиты | Потребкредиты | Онлайн | Рефинансирование | Сумма, млн ₽",6
"Эй, по по Retail / для переводы юридическим лицам где статистика?",Retail | Переводы юридическим лицам,2
"Эй, по для рефинансирование; потребкредиты; по Количество операций; sme; кредиты где статистика?",SME | Кредиты | Потребкредиты | Рефинансирование | Количество операций,5
Можно отчёт по для до востребования + количество операций прямо сейчас?,До востребования | Количество операций,2
Напомни: что видно по Количество операций / на потребкредиты / про retail / по новые / в Офлайн / на кредиты?,Retail | Кредиты | Потребкредиты | Офлайн | Новые | Количество операций,6
"для кредиты нужны сегодня, ок?",Кредиты,1
Дай сводку: ДЛИННЫЕ; Corporate; для вклады; на фиксированная ставка; КОЛИЧЕСТВО ОПЕРАЦИЙ; на краткосрочные.,Corporate | Вклады | Краткосрочные | Фиксированная ставка | Длинные | Количество операций,6
"Нужно быстро посмотреть КРЕДИТЫ, для corporate, в Количество операций — что по цифрам?",Corporate | Кредиты | Количество операций,3
Проверь по corporate — про вклады — про фиксированная ставка — в короткие и отправь.,Corporate | Вклады | Фиксированная ставка | Короткие,4
Нужно быстро посмотреть на retail; в вклады; количество операций — что по цифрам?,Retail | Вклады | Количество операций,3
по сумме; по Corporate; на ипотека; БЕЗ ГОСПОДДЕРЖКИ; по вторичка; КРЕДИТЫ. Срочно пришли отчёт.,"Corporate | Кредиты | Ипотека | Вторичка | Без господдержки | Сумма, млн ₽",6
А что у нас по потребкредиты / по Кредиты / по retail / в Новые?,Retail | Кредиты | Потребкредиты | Новые,4
"для corporate — по переводы физическим лицам — по Внутри компании нужны сегодня, ок?",Corporate | Переводы физическим лицам | Внутри компании,3
"Доставку забрали? оке,й спасибо!",,0
"Запрос на цифры: в ипотека; для сумма, млн ₽; КРЕДИТЫ; corporate; про первичка.","Corporate | Кредиты | Ипотека | Первичка | Сумма, млн ₽",5
Где презентация вчерашяня лежит?,,0
"в Плавающая ставка, для сумма, млн ₽ нужны сегодня, ок?","Плавающая ставка | Сумма, млн ₽",2
где презенТАцИя вчерАшняя Лежит?,,0
"Можно отчёт по по Вклады; длинные; на retail; СУММА, МЛН ₽; про краткосрочные; про фиксированная ставка прямо сейчас?","Retail | Вклады | Краткосрочные | Фиксированная ставка | Длинные | Сумма, млн ₽",6
"Напомни: что видно по по Retail / на сумма, млн ₽ / ПОТРЕБКРЕДИТЫ / кредиты?","Retail | Кредиты | Потребкредиты | Сумма, млн ₽",4
Уточни на переводы юридическим лицам + сколько по сумме + для sme + на срочные + Переводы + межфилиальные и сверь.,"SME | Переводы | Переводы юридическим лицам | Межфилиальные | Срочные | Сумма, млн ₽",6
Напомни: что видно по на вклады + для короткие + в Плавающая ставка + RETAIL?,Retail | Вклады | Плавающая ставка | Короткие,4
почему интернет лагает пять?,,0
"Дай сводку: по Фиксированная ставка, ВКЛАДЫ, для количество операций, по До востребования, SME, про длинные.",SME | Вклады | До востребования | Фиксированная ставка | Длинные | Количество операций,6
"Покажи, пж, Вкалды + в Плавающая ставка + на sme + по длинные + До востребования.",SME | Вклады | До востребования | Плавающая ставка | Длинные,5
"в До востребования / в Длинные / на sme / по Сумма, млн ₽ нужны сегодня, ок?","SME | До востребования | Длинные | Сумма, млн ₽",4
Напомни: что видно по по Вклады / в плавающая ставка / для sme / по Длинные / в Краткосрочные?,SME | Вклады | Краткосрочные | Плавающая ставка | Длинные,5
Напомни: что видно по для межбанковские + на количество операций + по Переводы юридическим лицам + по SME + в Обычные + Перевод?,SME | Переводы | Переводы юридическим лицам | Межбанковские | Обычные | Количество операций,6
"Онлйн, про потребкредиты, про кредиты, Retail, про количество операций. Срочно пришли отчёт.",Retail | Кредиты | Потребкредиты | Онлайн | Количество операций,5
